Job Name,Repo,Workflow Name,Branch,Cron schedule (JST),Status,End Date,PIC Team,Request Body
For Testing,qa-automate-apiqa,Parallelism_Testing_Launcher,optimize-tests-distribution,34 16 * * 5,Disable,2026-02-10,PAM,"{
    ""prjName"": ""Test-Distribution-O2O"",
    ""branchDetails"": ""optimize-tests-distribution"",
    ""cucumberTags"": ""(@stg and @O2O and not @not-qa) or @pp4bAllDomains"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""6"",
    ""slack_recipient"": """",
    ""channel"": """",
    ""enable_webdriver"": ""false""
 }"
QA - PP-INDIA-PAAS,qa-automate-apiqa,qa-automate-apiqa,Parallelism_Testing_Launcher,0 10 * * 2,Disable,2026-02-02,CAG,"{
  ""prjName"": ""Env-QA-INDIA-PAAS"",
  ""branchDetails"": ""master"",
  ""cucumberTags"": ""@stg and @backend and @ppind and not @not-qa"",
  ""environment"": ""QA"",
  ""parallelExecutors"": ""4"",
  ""parallelContainers"": ""5"",
  ""slack_recipient"": """",
  ""channel"": """",
  ""enable_webdriver"": ""false""
}"
QA - PP-INDIA-PAAS,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 3,Enable,2026-03-21,QA Tech,"{
  ""prjName"": ""Env-QA-INDIA-PAAS"",
  ""branchDetails"": ""master"",
  ""cucumberTags"": ""@stg and @backend and @ppind and not @not-qa"",
  ""environment"": ""QA"",
  ""parallelExecutors"": ""4"",
  ""parallelContainers"": ""5"",
  ""slack_recipient"": """",
  ""channel"": ""CKZLL1PKL"",
  ""enable_webdriver"": ""false""
}"
QA - PP-INDIA-PAAS,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 10 * * 4,Enable,2026-01-13,PAM,"{
  ""prjName"": ""Env-QA-INDIA-PAAS"",
  ""branchDetails"": ""master"",
  ""cucumberTags"": ""@stg and @backend and @ppind and not @not-qa"",
  ""environment"": ""QA"",
  ""parallelExecutors"": ""4"",
  ""parallelContainers"": ""5"",
  ""slack_recipient"": """",
  ""channel"": ""CKZLL1PKL"",
  ""enable_webdriver"": ""false""
}"
QA - PP-INDIA-PAAS-RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 2,Disable,2026-02-08,CAG,"{
  ""prjName"": ""Env-QA-INDIA-PAAS-RERUN"",
  ""branchDetails"": ""master"",
  ""cucumberTags"": ""@stg and @backend and @ppind and not @not-qa"",
  ""environment"": ""QA"",
  ""parallelExecutors"": ""4"",
  ""parallelContainers"": ""5"",
  ""slack_recipient"": """",
  ""channel"": """",
  ""enable_webdriver"": ""false"",
  ""rerun"": ""true""
}"
QA - PP-INDIA-PAAS-RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 3,Enable,2026-03-11,FSBP,"{
  ""prjName"": ""Env-QA-INDIA-PAAS-RERUN"",
  ""branchDetails"": ""master"",
  ""cucumberTags"": ""@stg and @backend and @ppind and not @not-qa"",
  ""environment"": ""QA"",
  ""parallelExecutors"": ""4"",
  ""parallelContainers"": ""5"",
  ""slack_recipient"": """",
  ""channel"": ""CKZLL1PKL"",
  ""enable_webdriver"": ""false"",
  ""rerun"": ""true""
}"
QA - PP-INDIA-PAAS-RERUN,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 11 * * 4,Enable,2026-01-14,CAG,"{
  ""prjName"": ""Env-QA-INDIA-PAAS-RERUN"",
  ""branchDetails"": ""master"",
  ""cucumberTags"": ""@stg and @backend and @ppind and not @not-qa"",
  ""environment"": ""QA"",
  ""parallelExecutors"": ""4"",
  ""parallelContainers"": ""5"",
  ""slack_recipient"": """",
  ""channel"": ""CKZLL1PKL"",
  ""enable_webdriver"": ""false"",
  ""rerun"": ""true""
}"
QA - O2O,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 6 * * 2,Disable,2026-02-26,PAM,"{
    ""prjName"": ""Env-QA-DAY-O2O"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and (@plc or @channel)"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""6"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - O2O,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 6 * * 3,Enable,2026-02-07,O2O,"{
    ""prjName"": ""Env-QA-DAY-O2O"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and (@plc or @channel)"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""6"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
QA - O2O,qa-automate-apiqa,Parallelism_Testing_Launcher,master,0 6 * * 4,Enable,2026-02-11,O2O,"{
    ""prjName"": ""Env-QA-DAY-O2O"",
    ""branchDetails"": ""master"",
    ""cucumberTags"": ""@stg and (@plc or @channel)"",
    ""environment"": ""QA"",
    ""parallelExecutors"": ""4"",
    ""parallelContainers"": ""6"",
    ""slack_recipient"": """",
    ""channel"": ""CKZLL1PKL"",
    ""enable_webdriver"": ""false""
 }"
